#mAbG 50 mM NaCl 10 mg/ml with FF 1 and 2 mg/ml		
#q	S(q)	deltaS(q)
0.02737203	0.929191238	0.006011221
0.027502727	0.934627872	0.006026691
0.027633424	0.917143197	0.005861927
0.027764122	0.925431883	0.005931774
0.027894819	0.923204985	0.005913814
0.028025516	0.923508726	0.005977253
0.028156213	0.928899862	0.006432488
0.028286911	0.931182066	0.00623161
0.028417608	0.916836145	0.005906807
0.028548305	0.923259101	0.005950938
0.028679003	0.929817342	0.006096622
0.0288097	0.917621288	0.006152387
0.028940397	0.924572041	0.005971245
0.029071095	0.91946306	0.005998872
0.029201792	0.928958022	0.006060212
0.029332489	0.92753741	0.006094514
0.029463187	0.932640693	0.006153121
0.029593884	0.943967941	0.006471109
0.029724581	0.925991234	0.006083421
0.029855279	0.924335839	0.006027629
0.029985976	0.929249319	0.006159093
0.030116673	0.931307294	0.006137727
0.03024737	0.920414679	0.006063835
0.030378068	0.932250919	0.006189811
0.030508765	0.942264946	0.006302285
0.030639462	0.920656372	0.006035334
0.03077016	0.929380765	0.006198289
0.030900857	0.913348477	0.006041784
0.031031554	0.936103868	0.006319422
0.031162252	0.92778136	0.006182845
0.031292949	0.927112037	0.006193848
0.031423646	0.93501272	0.006322617
0.031554344	0.931394983	0.006272955
0.031685041	0.936360976	0.006341197
0.031815738	0.927257068	0.006233573
0.031946436	0.930613971	0.006535523
0.032077133	0.937617697	0.006426946
0.03220783	0.934246756	0.006389639
0.032338527	0.927493453	0.006310064
0.032469225	0.936865064	0.006513558
0.032599922	0.932559132	0.006829844
0.032730619	0.934758967	0.006470276
0.032861317	0.934936569	0.006469307
0.032992014	0.940929339	0.006564699
0.033122711	0.914125465	0.006267751
0.033253409	0.942267161	0.006852779
0.033384106	0.930178833	0.006478758
0.033514803	0.925591746	0.006466486
0.033645501	0.939071313	0.006727672
0.033776198	0.928761606	0.006677959
0.033906895	0.936761869	0.006753706
0.034037593	0.948507611	0.006909588
0.03416829	0.936146665	0.006880325
0.034298987	0.915614126	0.006645288
0.034429684	0.931928732	0.007178469
0.034560382	0.943634158	0.007103334
0.034691079	0.931092542	0.006962071
0.034821776	0.950704574	0.00721936
0.034952474	0.940846399	0.007188501
0.035083171	0.934540371	0.007118457
0.035213868	0.921768191	0.007060271
0.035344566	0.937738502	0.007326769
0.035475263	0.95323459	0.007679409
0.03560596	0.933061815	0.007501279
0.035736658	0.926010546	0.007376051
0.035867355	0.925247393	0.007459393
0.035998052	0.9309774	0.007562223
0.03612875	0.928868985	0.007526601
0.036259447	0.949552189	0.007896316
0.036390144	0.935645058	0.008031412
0.036520841	0.939560678	0.007910002
0.036651539	0.943969874	0.007988662
0.036782236	0.939686561	0.007949207
0.036912933	0.923001294	0.00800389
0.037043631	0.942025776	0.00837076
0.037174328	0.943556845	0.008539186
0.037305025	0.940920255	0.008149378
0.037435723	0.949104957	0.008334472
0.03756642	0.930034531	0.008124225
0.037697117	0.94118177	0.008358186
0.037827815	0.928833279	0.008227374
0.037958512	0.937447373	0.008404791
0.038089209	0.958206831	0.008721316
0.038219907	0.962393627	0.009162712
0.038350604	0.956600539	0.008848471
0.038481301	0.936837395	0.008532716
0.038611998	0.960362817	0.008860986
0.038742696	0.948961837	0.008626615
0.038873393	0.929161273	0.008388152
0.03900409	0.940089603	0.008553266
0.039134788	0.929458861	0.008398749
0.039265485	0.923450749	0.008366375
0.039396182	0.942837988	0.008610836
0.03952688	0.943186704	0.008941296
0.039657577	0.952420137	0.00885121
0.039788274	0.945476329	0.008719745
0.039918972	0.948944515	0.008848199
0.040049669	0.932974392	0.008613863
0.040180366	0.935560967	0.008640516
0.040311063	0.931109373	0.008598937
0.040441761	0.922362767	0.008505929
0.040572458	0.926499762	0.00867527
0.040703155	0.915616345	0.008424536
0.040833853	0.945690274	0.008986935
0.04096455	0.949414552	0.009439576
0.041095247	0.942130845	0.008984297
0.041225945	0.933975922	0.009551151
0.041356642	0.958147399	0.009362351
0.041487339	0.946785584	0.009159705
0.041618037	0.946423052	0.009240925
0.041748734	0.96038663	0.009424352
0.041879431	0.938167013	0.009173738
0.042010129	0.927506471	0.009037368
0.042140826	0.949550948	0.009742678
0.042271523	0.963588817	0.010036456
0.04240222	0.939141365	0.009320227
0.042532918	0.95976881	0.00967375
0.042663615	0.964664682	0.009960253
0.042794312	0.944784913	0.009483162
0.04292501	0.93921183	0.009464081
0.043055707	0.945625765	0.00954255
0.043186404	0.931267387	0.009353671
0.043317102	0.917491988	0.009243801
0.043447799	0.934818464	0.009503646
0.043578496	0.947237442	0.009778066
0.043709194	0.929116877	0.009482129
0.043839891	0.966248055	0.010884164
0.043970588	0.953395988	0.010091539
0.044101286	0.954687652	0.010509293
0.044231983	0.955281234	0.010125854
0.04436268	0.943172979	0.009970161
0.044493377	0.922124553	0.009512486
0.044624075	0.947721807	0.010098733
0.044754772	0.932871926	0.009900006
0.044885469	0.914405552	0.009561168
0.045016167	0.933127883	0.010011892
0.045146864	0.950728573	0.010318836
0.045277561	0.941064551	0.010144176
0.045408259	0.938917824	0.010209663
0.045538956	0.945888354	0.010290923
0.045669653	0.924293807	0.010063297
0.045800351	0.926394265	0.01007983
0.045931048	0.936612196	0.010364375
0.046061745	0.933373309	0.010341783
0.046192443	0.956410722	0.01086558
0.04632314	0.940324888	0.010599744
0.046453837	0.948656081	0.010977128
0.046584534	0.962816655	0.011308097
0.046715232	0.935546629	0.010958426
0.046845929	0.941939092	0.011123352
0.046976626	0.938863991	0.011099419
0.047107324	0.943117203	0.011808539
0.047238021	0.957767746	0.011682855
0.047368718	0.945091963	0.011514538
0.047499416	0.941327356	0.011598769
0.047630113	0.960602979	0.012415722
0.04776081	0.967022355	0.012782438
