#mAbG 50 mM NaCl 30 mg/ml		
#q nm-1	Sq	deltaS(q)
0.427289635	0.879289365	0.004872376
0.429903585	0.897215897	0.004740064
0.43251753	0.900931979	0.004796237
0.435131475	0.89413498	0.004792471
0.437745425	0.90870218	0.004845239
0.44035937	0.906675882	0.005239149
0.442973315	0.902756999	0.005060493
0.44558726	0.910691371	0.004823929
0.448201205	0.91575954	0.004855079
0.450815155	0.902619608	0.004979908
0.4534291	0.905997558	0.005024046
0.456043045	0.897428495	0.004859924
0.458656995	0.897367824	0.00488135
0.46127094	0.89897037	0.004964576
0.463884885	0.918131626	0.004995823
0.46649883	0.918411385	0.00503756
0.469112775	0.921403631	0.005308651
0.471726725	0.919467509	0.005000151
0.47434067	0.912636554	0.004946304
0.476954615	0.909333809	0.005056886
0.479568565	0.900218876	0.005026092
0.48218251	0.914213928	0.004995701
0.484796455	0.91251896	0.005099109
0.4874104	0.908156323	0.005188807
0.490024345	0.908924126	0.004967907
0.492638295	0.944818026	0.005116535
0.49525224	0.91641694	0.004992556
0.497866185	0.919499112	0.00522801
0.500480135	0.919196128	0.005124701
0.50309408	0.943594028	0.005148456
0.505708025	0.952024556	0.005229238
0.50832197	0.912595818	0.005206502
0.510935915	0.919698861	0.005254742
0.513549865	0.894163133	0.005165184
0.51616381	0.930650391	0.00547447
0.518777755	0.928556772	0.005346988
0.521391705	0.94722998	0.005336551
0.52400565	0.932021009	0.005276473
0.526619595	0.949402772	0.005433892
0.52923354	0.934118299	0.005745153
0.531847485	0.956662575	0.005413318
0.534461435	0.924373782	0.005436052
0.53707538	0.961840081	0.005517655
0.539689325	0.935116946	0.005274505
0.542303275	0.929536849	0.005799253
0.54491722	0.957214714	0.005449891
0.547531165	0.932760247	0.005439035
0.55014511	0.954801769	0.00568232
0.552759055	0.934148427	0.005665943
0.555373005	0.953062823	0.00570705
0.55798695	0.960486722	0.00583568
0.560600895	0.965474932	0.005813708
0.563214845	0.950915288	0.005630507
0.56582879	0.949019687	0.006097171
0.569749708	0.948443618	0.006041984
0.5749776	0.956265049	0.005931164
0.580205493	0.94684466	0.006129232
0.585433385	0.944602899	0.006116613
0.590661278	0.949076249	0.00607623
0.59588917	0.94978835	0.006031501
0.601117063	0.948835493	0.006239022
0.606344955	0.930737174	0.006590145
0.611572848	0.941845284	0.006431974
0.61680074	0.949639497	0.006309534
0.622028633	0.963741801	0.006382532
0.627256525	0.933899597	0.006483198
0.632484418	0.961249979	0.006433778
0.63771231	0.940905698	0.00678838
0.642940203	0.955220629	0.006918132
0.648168095	0.92781209	0.006831511
0.653395987	0.943949116	0.006886614
0.65862388	0.94522974	0.006878263
0.663851772	0.958248028	0.006915674
0.669079665	0.968034108	0.007224809
0.674307557	0.962662455	0.007430061
0.67953545	0.931924626	0.007070759
0.684763342	0.940420574	0.007246954
0.689991235	0.957860898	0.007051735
0.695219127	0.95171927	0.007312756
0.70044702	0.922014765	0.007143605
0.705674913	0.917647762	0.007336163
0.710902805	0.976486308	0.007591589
0.716130698	0.940549263	0.007966443
0.72135859	0.959043617	0.007721601
0.726586482	0.961767555	0.007466423
0.731814375	0.938974037	0.007738796
0.737042268	0.950927915	0.007503617
0.74227016	0.972689239	0.007343799
0.747498052	0.980873875	0.007494559
0.752725945	0.9666493	0.007379807
0.757953837	0.944004721	0.007356402
0.76318173	0.95720695	0.007547658
0.768409623	0.930957855	0.007829373
0.773637512	0.942647592	0.007761724
0.778865407	0.962836698	0.007663541
0.7840933	0.988510061	0.007753385
0.789321193	0.956837493	0.007601667
0.794549082	0.941502045	0.007616842
0.799776978	0.938152982	0.007584535
0.80500487	0.974534385	0.007532732
0.810232763	0.932478699	0.007679051
0.815460653	1.00153154	0.007442487
0.820688548	0.981932871	0.007981591
0.82591644	1.017686383	0.008404874
0.833758278	0.984961809	0.007989771
0.844214064	0.949798025	0.00849609
0.854669848	0.975100399	0.008301925
0.865125634	0.942335522	0.008142529
0.875581418	0.962207848	0.008227317
0.886037204	0.959965789	0.008408145
0.896492988	0.964325906	0.008217084
0.906948774	0.956479744	0.008089549
0.917404557	0.939318598	0.008731727
0.927860344	1.003030942	0.008995883
0.938316126	0.987092812	0.008388008
0.948771914	0.987251114	0.008670786
0.959227696	0.99347971	0.00899661
0.969683484	0.986486178	0.00850501
0.980139266	0.977458319	0.008511938
0.990595054	0.977784319	0.008520566
1.001050839	0.949849072	0.008438451
1.011506625	0.997813259	0.00835607
1.0219624	1.00202448	0.008552728
1.0324182	0.990950919	0.008829756
1.042873975	0.956259782	0.008517237
1.053329763	0.996446807	0.009813102
1.06378555	1.012229149	0.009162871
1.074241325	1.008777204	0.009587361
1.084697125	1.005520374	0.009159666
1.0951529	1.02265999	0.008985579
1.105608688	0.968262313	0.008560225
1.116064475	0.988516852	0.009143247
1.126520263	0.975953634	0.009001416
1.136976038	1.019299162	0.008675548
1.147431825	1.032484585	0.009083656
1.157887613	1.027202903	0.009329092
1.1683434	0.956785562	0.009212597
1.178799175	1.013530198	0.009238603
1.189254975	0.95776985	0.009330687
1.19971075	0.958426135	0.009145611
