#100 mg/ml mit FF 1 und 2 mg/ml		
#q	S(q)	deltaS(q)
0.027502727	0.595520571	0.003684046
0.027633424	0.585630916	0.003586761
0.027764122	0.5907917	0.003630993
0.027894819	0.591125247	0.003630549
0.028025516	0.59051915	0.003664922
0.028156213	0.594585483	0.003972898
0.028286911	0.597448609	0.003846685
0.028417608	0.593394945	0.003665384
0.028548305	0.597299994	0.003692354
0.028679003	0.602106408	0.003788062
0.0288097	0.594771078	0.003834711
0.028940397	0.599523012	0.003713859
0.029071095	0.599986258	0.003728462
0.029201792	0.60704399	0.003800194
0.029332489	0.607982966	0.003833142
0.029463187	0.609214333	0.003858234
0.029593884	0.616939226	0.004074082
0.029724581	0.610705728	0.003849929
0.029855279	0.608108035	0.003805084
0.029985976	0.611284861	0.003889301
0.030116673	0.612616614	0.003875845
0.03024737	0.611490036	0.003865338
0.030378068	0.619036015	0.003946306
0.030508765	0.625582081	0.004020238
0.030639462	0.612491838	0.003852378
0.03077016	0.619279279	0.003965501
0.030900857	0.611148806	0.003878325
0.031031554	0.626716386	0.00406498
0.031162252	0.623748055	0.003991139
0.031292949	0.625840832	0.004015146
0.031423646	0.627996588	0.004079661
0.031554344	0.627551604	0.004059737
0.031685041	0.631432996	0.004109268
0.031815738	0.626955845	0.004047811
0.031946436	0.633452015	0.004286459
0.032077133	0.63675583	0.004195199
0.03220783	0.636870834	0.004185712
0.032338527	0.635039351	0.004150642
0.032469225	0.64366525	0.004275425
0.032599922	0.638247362	0.004518246
0.032730619	0.639656774	0.004256541
0.032861317	0.644777156	0.004289569
0.032992014	0.650792837	0.004367141
0.033122711	0.63350945	0.004171192
0.033253409	0.654446334	0.004591435
0.033384106	0.645886593	0.004325029
0.033514803	0.64357126	0.004321453
0.033645501	0.654262033	0.004520345
0.033776198	0.651832368	0.004505905
0.033906895	0.655651016	0.004546838
0.034037593	0.663211017	0.004655829
0.03416829	0.655269368	0.004632987
0.034298987	0.64633428	0.004507432
0.034429684	0.656923788	0.004881188
0.034560382	0.668428677	0.004844772
0.034691079	0.660879964	0.004755031
0.034821776	0.673872017	0.004928872
0.034952474	0.670441498	0.00493167
0.035083171	0.66760473	0.004893649
0.035213868	0.659845917	0.004860931
0.035344566	0.670740219	0.005045341
0.035475263	0.685127456	0.005319207
0.03560596	0.671803154	0.005199532
0.035736658	0.665924033	0.005103823
0.035867355	0.667636714	0.005179165
0.035998052	0.674855161	0.005277861
0.03612875	0.67117522	0.005234675
0.036259447	0.689493759	0.005526378
0.036390144	0.680881635	0.005644071
0.036520841	0.686385499	0.005567294
0.036651539	0.68962103	0.00562531
0.036782236	0.689667645	0.005622619
0.036912933	0.674630153	0.005646445
0.037043631	0.693372087	0.005954129
0.037174328	0.699013116	0.006114956
0.037305025	0.695906961	0.005811016
0.037435723	0.703866778	0.005961871
0.03756642	0.691083735	0.005817183
0.037697117	0.705163507	0.006038614
0.037827815	0.690710877	0.005895636
0.037958512	0.702335932	0.00607122
0.038089209	0.713538927	0.006270389
0.038219907	0.716092851	0.006599738
0.038350604	0.717265981	0.006405327
0.038481301	0.703824698	0.00618267
0.038611998	0.720917694	0.006424566
0.038742696	0.714567153	0.006234893
0.038873393	0.703686434	0.006125245
0.03900409	0.712423331	0.006255715
0.039134788	0.705803847	0.006156649
0.039265485	0.703022942	0.006141565
0.039396182	0.718665249	0.006335718
0.03952688	0.71592596	0.00656942
0.039657577	0.72626477	0.006520314
0.039788274	0.724876359	0.006456304
0.039918972	0.725082178	0.006530835
0.040049669	0.71819983	0.006400245
0.040180366	0.720816922	0.006426849
0.040311063	0.718553901	0.006405491
0.040441761	0.716123494	0.006372156
0.040572458	0.719049286	0.006498541
0.040703155	0.709606223	0.006296961
0.040833853	0.736072268	0.00676068
0.04096455	0.74092931	0.007138809
0.041095247	0.736493093	0.006787218
0.041225945	0.726666388	0.007213592
0.041356642	0.748891271	0.007079387
0.041487339	0.744122519	0.006960558
0.041618037	0.7436864	0.007021034
0.041748734	0.756298764	0.007182215
0.041879431	0.742573856	0.007019412
0.042010129	0.736287956	0.006931516
0.042140826	0.752524953	0.007488758
0.042271523	0.764712924	0.007730286
0.04240222	0.751038165	0.00720843
0.042532918	0.766483059	0.007480651
0.042663615	0.775826158	0.007759756
0.042794312	0.756197283	0.007345386
0.04292501	0.753553565	0.007345928
0.043055707	0.754506399	0.007369324
0.043186404	0.748989368	0.007276252
0.043317102	0.740220172	0.00720866
0.043447799	0.753804752	0.007413354
0.043578496	0.766888132	0.007665775
0.043709194	0.75085451	0.007412563
0.043839891	0.778959486	0.008543776
0.043970588	0.775523808	0.007953495
0.044101286	0.781356756	0.008354039
0.044231983	0.777116144	0.0079836
0.04436268	0.768201522	0.00786522
0.044493377	0.750744351	0.007492262
0.044624075	0.775271417	0.008004771
0.044754772	0.766075432	0.007871428
0.044885469	0.753445553	0.007621192
0.045016167	0.765999002	0.007959067
0.045146864	0.78392591	0.008206697
0.045277561	0.775607128	0.008101515
0.045408259	0.772627591	0.008140691
0.045538956	0.78080046	0.008234898
0.045669653	0.766498541	0.00808251
0.045800351	0.768881465	0.008104057
0.045931048	0.78049915	0.008331583
0.046061745	0.776402183	0.008336935
0.046192443	0.799864894	0.008818479
0.04632314	0.781485184	0.008541596
0.046453837	0.795597365	0.008932152
0.046584534	0.806610808	0.009199167
0.046715232	0.78891117	0.008961186
0.046845929	0.788458718	0.009032004
0.046976626	0.788732874	0.009045796
0.047107324	0.796271413	0.009695671
0.047238021	0.807519948	0.009566754
0.047368718	0.800231925	0.009462481
0.047499416	0.794452762	0.009499625
0.047630113	0.815167483	0.010256936
0.04776081	0.820145138	0.010557137
0.047891508	0.807486643	0.009865128
0.048022205	0.821748695	0.010190868
0.048152902	0.821279117	0.010735503
0.0482836	0.810741525	0.010435465
0.048414297	0.819958394	0.010843482
0.048544994	0.808651503	0.010187954
0.048675691	0.828435264	0.010613641
0.048806389	0.817401123	0.010532388
0.048937086	0.82166411	0.010590879
0.049067783	0.806711801	0.010305306
0.049198481	0.847558152	0.01136972
0.049329178	0.846943997	0.011374253
0.049459875	0.842895107	0.011331294
0.049590573	0.83157783	0.011642894
0.04972127	0.81873859	0.010850766
0.049851967	0.805365161	0.010588643
0.049982665	0.836453987	0.006867827
0.050113362	0.860674623	0.007243132
0.050244059	0.832426745	0.006856814
0.050374757	0.856753186	0.007288455
0.050505454	0.850976422	0.007213158
0.050636151	0.843818312	0.007400074
0.050766848	0.852492725	0.007243936
0.050897546	0.852191198	0.007323074
0.051028243	0.862970366	0.007532041
0.05115894	0.859293288	0.007466742
0.051289638	0.856088019	0.00742406
