#60 mg/ml nominal mit FF 1 und 2 mg/ml		
#q	S(q)	deltaS(q)
0.027502727	0.740518055	0.00459422
0.027633424	0.72795516	0.004471644
0.027764122	0.734292892	0.00452611
0.027894819	0.734503505	0.004524284
0.028025516	0.731750093	0.004554795
0.028156213	0.738293091	0.004945278
0.028286911	0.740977777	0.004783573
0.028417608	0.734162903	0.004548158
0.028548305	0.739339618	0.004583648
0.028679003	0.744005573	0.004694272
0.0288097	0.735137121	0.004752571
0.028940397	0.739885732	0.004596725
0.029071095	0.740034738	0.004612149
0.029201792	0.747555418	0.004693287
0.029332489	0.748050095	0.004729817
0.029463187	0.749265082	0.004758799
0.029593884	0.757650904	0.005016436
0.029724581	0.749027692	0.004735568
0.029855279	0.744251423	0.004670595
0.029985976	0.749655343	0.004783384
0.030116673	0.750530797	0.004762069
0.03024737	0.746120788	0.004730179
0.030378068	0.754612701	0.004824502
0.030508765	0.763945344	0.004923251
0.030639462	0.746980854	0.004712047
0.03077016	0.752841203	0.004834768
0.030900857	0.743955726	0.004734984
0.031031554	0.761820158	0.004955303
0.031162252	0.756794966	0.004856477
0.031292949	0.758967645	0.004883225
0.031423646	0.763548048	0.004974298
0.031554344	0.761550279	0.004940659
0.031685041	0.76416725	0.004987234
0.031815738	0.758581971	0.004911755
0.031946436	0.765839906	0.005195916
0.032077133	0.770128596	0.005088171
0.03220783	0.769222916	0.005069876
0.032338527	0.764625673	0.005011944
0.032469225	0.775446378	0.005165089
0.032599922	0.767949869	0.005449584
0.032730619	0.771770224	0.005150022
0.032861317	0.775576888	0.005174147
0.032992014	0.781728607	0.005260287
0.033122711	0.758040814	0.005005706
0.033253409	0.784788316	0.005519905
0.033384106	0.774705525	0.005202148
0.033514803	0.770841386	0.005190687
0.033645501	0.783040309	0.00541201
0.033776198	0.778507283	0.005396655
0.033906895	0.782008618	0.005438237
0.034037593	0.792732022	0.005574555
0.03416829	0.781192113	0.005538678
0.034298987	0.768554091	0.005375139
0.034429684	0.780795952	0.005816595
0.034560382	0.793085161	0.005763916
0.034691079	0.785834506	0.005669561
0.034821776	0.797355159	0.005847907
0.034952474	0.79475115	0.005861959
0.035083171	0.789776604	0.005805167
0.035213868	0.779699269	0.005759988
0.035344566	0.791798547	0.005972296
0.035475263	0.810460169	0.006308818
0.03560596	0.794211001	0.006163565
0.035736658	0.786489003	0.006044521
0.035867355	0.78647024	0.006117935
0.035998052	0.792210444	0.006212666
0.03612875	0.78861945	0.006167688
0.036259447	0.809378388	0.006504509
0.036390144	0.800105343	0.006648936
0.036520841	0.804713516	0.006544545
0.036651539	0.807929194	0.006607833
0.036782236	0.808351536	0.006607611
0.036912933	0.789770512	0.006627032
0.037043631	0.806066306	0.006947389
0.037174328	0.814891816	0.007146016
0.037305025	0.812310411	0.006800805
0.037435723	0.820811651	0.006970395
0.03756642	0.804967059	0.006793842
0.037697117	0.818255193	0.007025407
0.037827815	0.802760028	0.006870396
0.037958512	0.814215833	0.007056889
0.038089209	0.828230203	0.007296725
0.038219907	0.829914328	0.00766679
0.038350604	0.82866145	0.007419056
0.038481301	0.813602183	0.007165756
0.038611998	0.832512342	0.007437809
0.038742696	0.825877259	0.007224537
0.038873393	0.811018648	0.007078189
0.03900409	0.820117897	0.00721994
0.039134788	0.813290823	0.007106729
0.039265485	0.808591884	0.00708245
0.039396182	0.826212468	0.007302468
0.03952688	0.820297149	0.007545112
0.039657577	0.832154002	0.007489829
0.039788274	0.831082948	0.007420941
0.039918972	0.831369503	0.007506997
0.040049669	0.821398148	0.007338736
0.040180366	0.822427226	0.007351701
0.040311063	0.820302255	0.007331343
0.040441761	0.817728954	0.007295035
0.040572458	0.821627215	0.007444564
0.040703155	0.810523396	0.007211325
0.040833853	0.835692949	0.007703421
0.04096455	0.839382572	0.008106011
0.041095247	0.838709029	0.007748221
0.041225945	0.825257255	0.008210024
0.041356642	0.847082778	0.008027082
0.041487339	0.84276595	0.007902588
0.041618037	0.840823213	0.007957632
0.041748734	0.854401347	0.008133272
0.041879431	0.839882976	0.007958693
0.042010129	0.831165953	0.007844246
0.042140826	0.84883034	0.008465882
0.042271523	0.862695132	0.008739633
0.04240222	0.84616776	0.008141072
0.042532918	0.859685861	0.008410078
0.042663615	0.87351239	0.008756719
0.042794312	0.849465474	0.008271024
0.04292501	0.845169889	0.008258913
0.043055707	0.845709192	0.008279907
0.043186404	0.841305582	0.008192768
0.043317102	0.830649702	0.008109144
0.043447799	0.843666157	0.008317146
0.043578496	0.85576445	0.008574251
