#q	S(q)	deltaS(q)
0.06025445	0.094364197	0.015422763
0.06826711	0.089761577	0.011718121
0.07627977	0.151314628	0.017341301
0.08429244	0.11713451	0.01120633
0.0923051	0.120271068	0.010694759
0.1003178	0.123169222	0.009691002
0.1083304	0.139463518	0.010797247
0.1163431	0.140178304	0.010305751
0.1243558	0.136183683	0.009085363
0.1323684	0.138065812	0.009009083
0.1403811	0.145654734	0.009006853
0.1483938	0.140074684	0.008644992
0.1564064	0.153670078	0.009208397
0.1644191	0.15223271	0.00917354
0.1724318	0.174398762	0.009524946
0.1804444	0.166044819	0.009291807
0.1884571	0.179265997	0.009637147
0.1964697	0.189322248	0.009719649
0.2044824	0.208452824	0.010564842
0.2124951	0.209580489	0.010608937
0.2205077	0.211963545	0.010524075
0.2285204	0.230548624	0.011664095
0.2365331	0.232725273	0.011156032
0.2445457	0.239389743	0.0117523
0.2525584	0.273805619	0.013291854
0.2605711	0.280290659	0.013873196
0.2685837	0.297745048	0.014979343
0.2765964	0.322721482	0.016758574
0.2846091	0.326008444	0.016816071
0.2926217	0.333441558	0.017295829
0.3006344	0.3544556	0.017669022
0.308647	0.372648251	0.019417602
0.3166597	0.409614458	0.021219585
0.3246724	0.439657073	0.023824594
0.332685	0.45641572	0.024636356
0.3406977	0.465402144	0.026450383
0.3487104	0.484748302	0.028403308
0.356723	0.526143186	0.030186224
0.3647357	0.557908833	0.032221922
0.1235214	0.145461968	0.005749259
0.1424667	0.155915789	0.002036993
0.1614119	0.166190603	0.002047188
0.1803572	0.178375075	0.002080484
0.1993025	0.196685344	0.002062165
0.2182478	0.223236684	0.0022742
0.2371931	0.246974019	0.002384442
0.2561384	0.278119056	0.002598067
0.2750836	0.32279181	0.002891214
0.2940289	0.360096139	0.003256944
0.3129742	0.411488748	0.003606241
0.3319195	0.459989726	0.004051552
0.3508648	0.52353242	0.004743892
0.3698101	0.593098692	0.005158068
0.3887553	0.655036812	0.005918258
0.4077006	0.707031576	0.006757676
0.4266459	0.759722277	0.007263772
0.4455912	0.823910945	0.008020258
0.4645365	0.877284702	0.008859903
0.4834818	0.924012511	0.009340281
0.5024271	0.938612583	0.010150466
0.5213723	0.968343794	0.010735963
0.5403176	0.971492429	0.011026233
0.5592629	0.968356024	0.011156636
0.5782082	0.96010614	0.011335351
0.5971535	0.962510408	0.011750058
0.6160988	0.960879412	0.011901839
0.635044	0.956512567	0.012106845
0.6539893	0.961454162	0.012567333
0.6729346	0.970924226	0.013143716
0.6918799	0.963042808	0.014012751
0.7108252	0.963508318	0.013946864
0.7297705	0.941351491	0.01395331
0.7487157	0.942430647	0.014439599
0.767661	0.948959632	0.014499276
0.7866063	0.946821321	0.014615417
0.8055516	0.939703897	0.015680884
0.8244969	0.918984209	0.015008552
0.8434422	0.938524423	0.015890477
0.8623874	0.936004456	0.016349618
0.8813327	0.985429776	0.017909016
0.900278	0.95488501	0.017910682
0.9192233	0.958172664	0.018455047
0.9381686	0.961096094	0.019259747
0.9571139	0.951308435	0.020055119
0.9760591	0.961118078	0.020694588
0.9950044	1.008203555	0.022860789
1.01395 	1.001867333	0.022317644
1.032895	0.933103654	0.021938748
1.05184 	0.984484973	0.023744603
1.070786	0.991797001	0.025417889
1.089731	0.963662267	0.025333731
1.108676	0.958846925	0.025806614
1.127621	1.021220416	0.02967522
1.146567	0.967068008	0.028423595
1.165512	1.007442545	0.031153673
1.184457	1.028873233	0.035053449
1.203403	1.020707008	0.036079626
1.222348	0.99139496	0.034515502
1.241293	0.999128179	0.037058509
1.260238	1.037210433	0.039990839
1.279184	0.961526295	0.035390924
1.298129	0.970360671	0.037295325
1.317074	0.979241694	0.039859041
1.33602 	1.004375251	0.041451688
1.354965	0.925891853	0.039083773
1.37391 	0.933044029	0.040750204
1.392855	1.061110818	0.049552405
1.411801	1.011194769	0.045590272
1.430746	0.93165254	0.043496036
1.449691	0.972609488	0.049407077
1.468637	0.953724029	0.046512866
1.487582	1.053095659	0.056039487
1.506527	1.013390309	0.049054009
1.525472	1.02323311	0.051095369
1.544418	1.06206427	0.050997447
1.563363	1.011629135	0.056124531
1.582308	0.998224288	0.050504581
1.601254	1.095844829	0.061741867
1.620199	1.05896733	0.063501148
1.639144	1.058049781	0.064107393
1.658089	1.025683085	0.061763716
1.677035	1.078636409	0.067958424
1.69598 	1.087859958	0.071132158
1.714925	0.992501712	0.067199153
1.733871	0.99871407	0.063316436
1.752816	1.045200846	0.069606444
1.771761	1.046387158	0.077831986
1.790706	1.151857357	0.088170754
1.809652	0.994315693	0.066054267
1.828597	1.081297672	0.08047339
1.847542	1.055253026	0.081366768
1.866487	1.08973741	0.104048529
1.885433	1.21603826	0.091554238
1.904378	1.016872164	0.075895122
1.923323	1.154580594	0.100480728
1.942269	1.266286464	0.109467549
1.961214	1.167820268	0.11343644
1.980159	0.895341023	0.075699815
1.999104	1.038829057	0.098160903
