#q [nm-1]	S(q) 200 mg/ml	deltaS
0.06025445	0.071240058	0.009902257
0.06826711	0.062069725	0.006829641
0.07627977	0.072670707	0.007920561
0.08429244	0.067284875	0.006042753
0.0923051	0.07377116	0.006015983
0.1003178	0.073147952	0.005312971
0.1083304	0.078824138	0.005718759
0.1163431	0.077569255	0.005485311
0.1243558	0.079294825	0.004946166
0.1323684	0.086623534	0.005309692
0.1403811	0.085418594	0.004961323
0.1483938	0.098292598	0.005672693
0.1564064	0.094314204	0.005357992
0.1644191	0.098676421	0.005520534
0.1724318	0.099690055	0.005225897
0.1804444	0.11126113	0.005927608
0.1884571	0.118024591	0.00610736
0.1964697	0.107196881	0.005383059
0.2044824	0.11904878	0.005873285
0.2124951	0.127159771	0.006232743
0.2205077	0.129331204	0.006256258
0.2285204	0.13818401	0.006800669
0.2365331	0.151119275	0.007021163
0.2445457	0.150998194	0.007254621
0.2525584	0.152676132	0.007349828
0.2605711	0.180816291	0.008828613
0.2685837	0.180860215	0.008991611
0.2765964	0.193591164	0.009944861
0.2846091	0.189490392	0.009706715
0.2926217	0.201825984	0.010360079
0.3006344	0.193639998	0.009567979
0.308647	0.221949274	0.011481669
0.3166597	0.21746198	0.01120493
0.3246724	0.237585012	0.012836281
0.332685	0.248489205	0.013346024
0.3406977	0.25431721	0.014380683
0.3487104	0.286432804	0.016722378
0.356723	0.284847129	0.016321247
0.3647357	0.279448837	0.016145314
0.1235214	0.083795733	0.003012613
0.1424667	0.088095758	0.001066787
0.1614119	0.097578642	0.001119803
0.1803572	0.108359445	0.001180902
0.1993025	0.119518322	0.001189515
0.2182478	0.135247217	0.001320495
0.2371931	0.149233277	0.001389912
0.2561384	0.16667772	0.00151522
0.2750836	0.183654327	0.001618475
0.2940289	0.202998841	0.001813541
0.3129742	0.223643686	0.001943731
0.3319195	0.249449947	0.00218596
0.3508648	0.27692731	0.002502211
0.3698101	0.302928714	0.002633085
0.3887553	0.336900924	0.003042095
0.4077006	0.366816548	0.003499769
0.4266459	0.410178743	0.003908428
0.4455912	0.436612794	0.004233689
0.4645365	0.472403221	0.004740459
0.4834818	0.507939049	0.005091221
0.5024271	0.551127181	0.005896061
0.5213723	0.575114899	0.006299345
0.5403176	0.615793336	0.006894744
0.5592629	0.643990181	0.007299979
0.5782082	0.671376923	0.007787562
0.5971535	0.703582782	0.008434655
0.6160988	0.717407267	0.008709205
0.635044	0.740876178	0.00918798
0.6539893	0.75480518	0.009661514
0.6729346	0.769791806	0.010199925
0.6918799	0.811271249	0.011564725
0.7108252	0.812499167	0.01151185
0.7297705	0.818391915	0.011865045
0.7487157	0.830255511	0.012437268
0.767661	0.854483143	0.012767896
0.7866063	0.845021465	0.012747026
0.8055516	0.877024094	0.014317132
0.8244969	0.877701837	0.014002024
0.8434422	0.881759411	0.014587445
0.8623874	0.891654713	0.015196
0.8813327	0.901791972	0.016006552
0.900278	0.937315337	0.017192382
0.9192233	0.912276271	0.017168972
0.9381686	0.931755288	0.01825244
0.9571139	0.963707756	0.019878143
0.9760591	0.976978865	0.020594443
0.9950044	1.006628397	0.022394267
1.01395 	0.979733312	0.021386008
1.032895	0.984333129	0.022667323
1.05184 	0.989207696	0.02339571
1.070786	0.998146637	0.025097637
1.089731	0.974308974	0.025126324
1.108676	0.982854589	0.02594769
1.127621	0.990816802	0.028304892
1.146567	0.961059225	0.027745528
1.165512	0.985929647	0.030004017
1.184457	1.028632562	0.03452895
1.203403	1.053228026	0.036713143
1.222348	0.989699567	0.033939863
1.241293	1.010836663	0.036966947
1.260238	0.99650559	0.037901756
1.279184	0.931978406	0.033774642
1.298129	0.943136207	0.035710245
1.317074	0.960847492	0.038575523
1.33602 	0.952142238	0.038756796
1.354965	0.93356498	0.038849287
1.37391 	0.945599862	0.040753145
1.392855	0.997416917	0.046061053
1.411801	0.917069066	0.04081525
1.430746	0.940845546	0.043371273
1.449691	1.019147033	0.051221941
1.468637	0.957233449	0.04613358
1.487582	1.004746637	0.052892832
1.506527	0.909362478	0.043477095
1.525472	0.909840188	0.044865096
