#mAbG 50 mM NaCl 30 mg/ml	
#q nm-1	Sq
0.045	0.612378666
0.046306973	0.680874829
0.047613946	0.680115691
0.048920919	0.6992129
0.050227892	0.673583113
0.051534866	0.638201161
0.052841839	0.697401249
0.054148812	0.709782986
0.055455785	0.685115019
0.056762758	0.686781038
0.058069731	0.689840923
0.059376704	0.686919321
0.060683677	0.674062773
0.061990651	0.713307734
0.063297624	0.676997184
0.064604597	0.688561633
0.06591157	0.697652673
0.067218543	0.702373172
0.068525516	0.717981663
0.069832489	0.690819269
0.071139462	0.691768393
0.072446436	0.710145367
0.073753409	0.708207005
0.075060382	0.696786162
0.076367355	0.721600364
0.077674328	0.703442398
0.078981301	0.689594254
0.080288274	0.706208203
0.081595247	0.70683815
0.08290222	0.719258874
0.084209194	0.724500043
0.085516167	0.710393569
0.08682314	0.699059369
0.088130113	0.715531898
0.089437086	0.702279889
0.090744059	0.719006312
0.092051032	0.709224348
0.093358005	0.728625852
0.094664979	0.723366044
0.095971952	0.713433706
0.097278925	0.713842724
0.098585898	0.716808907
0.099892871	0.717886064
0.10119984	0.730265535
0.10250682	0.71927952
0.10381379	0.703026666
0.10512076	0.718565881
0.10642774	0.733171003
0.10773471	0.724679433
0.10904168	0.718861222
0.11034866	0.737322436
0.11165563	0.712530406
0.1129626	0.731106249
0.11426958	0.732475044
0.11557655	0.712059068
0.11688352	0.71719776
0.11819049	0.740395674
0.11949747	0.737438768
0.12080444	0.743838011
0.12211141	0.742332398
0.124071875	0.736788649
0.12668582	0.730493909
0.129299765	0.730955567
0.131913715	0.735373278
0.13452766	0.727567713
0.137141605	0.733186431
0.13975555	0.745213108
0.142369495	0.732441518
0.144983445	0.741188587
0.14759739	0.740068683
0.150211335	0.745021465
0.152825285	0.749092935
0.15543923	0.735098369
0.158053175	0.743060109
0.16066712	0.738200055
0.163281065	0.744130118
0.165895015	0.744866453
0.16850896	0.74299507
0.171122905	0.746896704
0.173736855	0.748363669
0.1763508	0.749060812
0.178964745	0.745861
0.18157869	0.75205083
0.184192635	0.750053849
0.186806585	0.75713957
0.18942053	0.765374921
0.192034475	0.758526991
0.194648425	0.766756275
0.19726237	0.768685255
0.199876315	0.75919888
0.20249026	0.763895646
0.205104205	0.772036741
0.207718155	0.774114019
0.2103321	0.770282236
0.212946045	0.764650358
0.215559995	0.766867337
0.21817394	0.773713153
0.220787885	0.76723018
0.22340183	0.780292942
0.226015775	0.774166903
0.228629725	0.775733855
0.23124367	0.780896696
0.233857615	0.77831143
0.236471565	0.774232443
0.239085505	0.794017097
0.241699455	0.788259955
0.2443134	0.790884687
0.246927345	0.788766399
0.249541295	0.792026993
0.25215524	0.786650212
0.254769185	0.793008211
0.257383135	0.800045347
0.259997075	0.792363492
0.262611025	0.795584382
0.26522497	0.807398849
0.267838915	0.794849904
0.270452865	0.797020328
0.27306681	0.802244526
0.275680755	0.807777691
0.278294705	0.809535026
0.280908645	0.807345956
0.283522595	0.814712627
0.28613654	0.811133131
0.288750485	0.810248679
0.291364435	0.804693495
0.29397838	0.811378367
0.296592325	0.831125653
0.299206275	0.822310396
0.301820215	0.818780227
0.304434165	0.821197417
0.30704811	0.824076658
0.309662055	0.826308591
0.312276005	0.833932009
0.31488995	0.825857209
0.317503895	0.822042642
0.320117845	0.835307581
0.322731785	0.835001985
0.325345735	0.828600474
0.32795968	0.838413521
0.330573625	0.834380958
0.333187575	0.840063563
0.33580152	0.839844585
0.338415465	0.836977119
0.341029415	0.845645521
0.343643355	0.832313048
0.346257305	0.838688454
0.34887125	0.844072544
0.351485195	0.84387145
0.354099145	0.847275191
0.35671309	0.852243266
0.359327035	0.859221324
0.361940985	0.856650714
0.364554925	0.86385071
0.367168875	0.855905297
0.36978282	0.872911684
0.372396765	0.856658889
0.375010715	0.876536971
0.37762466	0.863317388
0.380238605	0.869057276
0.382852555	0.875907387
0.385466495	0.869813346
0.388080445	0.882292881
0.39069439	0.879624718
0.393308335	0.870836052
0.395922285	0.879925588
0.39853623	0.88465362
0.401150175	0.875173128
0.40376412	0.879837998
0.406378065	0.875897066
0.408992015	0.875044713
0.41160596	0.882995877
0.414219905	0.868641878
0.416833855	0.897594645
0.4194478	0.874857694
0.422061745	0.885236712
0.42467569	0.886740728
0.427289635	0.879289365
0.429903585	0.897215897
0.43251753	0.900931979
0.435131475	0.89413498
0.437745425	0.90870218
0.44035937	0.906675882
0.442973315	0.902756999
0.44558726	0.910691371
0.448201205	0.91575954
0.450815155	0.902619608
0.4534291	0.905997558
0.456043045	0.897428495
0.458656995	0.897367824
0.46127094	0.89897037
0.463884885	0.918131626
0.46649883	0.918411385
0.469112775	0.921403631
0.471726725	0.919467509
0.47434067	0.912636554
0.476954615	0.909333809
0.479568565	0.900218876
0.48218251	0.914213928
0.484796455	0.91251896
0.4874104	0.908156323
0.490024345	0.908924126
0.492638295	0.944818026
0.49525224	0.91641694
0.497866185	0.919499112
0.500480135	0.919196128
0.50309408	0.943594028
0.505708025	0.952024556
0.50832197	0.912595818
0.510935915	0.919698861
0.513549865	0.894163133
0.51616381	0.930650391
0.518777755	0.928556772
0.521391705	0.94722998
0.52400565	0.932021009
0.526619595	0.949402772
0.52923354	0.934118299
0.531847485	0.956662575
0.534461435	0.924373782
0.53707538	0.961840081
0.539689325	0.935116946
0.542303275	0.929536849
0.54491722	0.957214714
0.547531165	0.932760247
0.55014511	0.954801769
0.552759055	0.934148427
0.555373005	0.953062823
0.55798695	0.960486722
0.560600895	0.965474932
0.563214845	0.950915288
0.56582879	0.949019687
0.569749708	0.948443618
0.5749776	0.956265049
0.580205493	0.94684466
0.585433385	0.944602899
0.590661278	0.949076249
0.59588917	0.94978835
0.601117063	0.948835493
0.606344955	0.930737174
0.611572848	0.941845284
0.61680074	0.949639497
0.622028633	0.963741801
0.627256525	0.933899597
0.632484418	0.961249979
0.63771231	0.940905698
0.642940203	0.955220629
0.648168095	0.92781209
0.653395987	0.943949116
0.65862388	0.94522974
0.663851772	0.958248028
0.669079665	0.968034108
0.674307557	0.962662455
0.67953545	0.931924626
0.684763342	0.940420574
0.689991235	0.957860898
0.695219127	0.95171927
0.70044702	0.922014765
0.705674913	0.917647762
0.710902805	0.976486308
0.716130698	0.940549263
0.72135859	0.959043617
0.726586482	0.961767555
0.731814375	0.938974037
0.737042268	0.950927915
0.74227016	0.972689239
0.747498052	0.980873875
0.752725945	0.9666493
0.757953837	0.944004721
0.76318173	0.95720695
0.768409623	0.930957855
0.773637512	0.942647592
0.778865407	0.962836698
0.7840933	0.988510061
0.789321193	0.956837493
0.794549082	0.941502045
0.799776978	0.938152982
0.80500487	0.974534385
0.810232763	0.932478699
0.815460653	1.00153154
0.820688548	0.981932871
0.82591644	1.017686383
0.833758278	0.984961809
0.844214064	0.949798025
0.854669848	0.975100399
0.865125634	0.942335522
0.875581418	0.962207848
0.886037204	0.959965789
0.896492988	0.964325906
0.906948774	0.956479744
0.917404557	0.939318598
0.927860344	1.003030942
0.938316126	0.987092812
0.948771914	0.987251114
0.959227696	0.99347971
0.969683484	0.986486178
0.980139266	0.977458319
0.990595054	0.977784319
1.001050839	0.949849072
1.011506625	0.997813259
1.0219624	1.00202448
1.0324182	0.990950919
1.042873975	0.956259782
1.053329763	0.996446807
1.06378555	1.012229149
1.074241325	1.008777204
1.084697125	1.005520374
1.0951529	1.02265999
1.105608688	0.968262313
1.116064475	0.988516852
1.126520263	0.975953634
1.136976038	1.019299162
1.147431825	1.032484585
1.157887613	1.027202903
1.1683434	0.956785562
1.178799175	1.013530198
1.189254975	0.95776985
1.19971075	0.958426135
1.210166538	1.000199958
1.220622325	0.920152868
1.2310781	1.068597602
1.2415339	0.90699099
1.251989675	1.028951223
1.262445463	1.007484342
1.27290125	1.0138165
1.283357025	1.055294182
1.293812813	0.97882906
1.3042686	0.96794322
1.314724388	1.109357558
1.325180175	1.065166258
1.335635963	1.157325718
1.346091738	0.987525493
1.356547525	1.044402372
1.367003313	0.983980621
1.3774591	0.911606993
1.387914875	1.024078277
1.398370675	1.155755706
1.40882645	0.942741102
