#mAbG 50 mM NaCl 60 mg/ml	
#q nm-1	Sq
0.045	0.535256455
0.046306973	0.587912456
0.047613946	0.585339986
0.048920919	0.608228964
0.050227892	0.580000124
0.051534866	0.554889918
0.052841839	0.608263487
0.054148812	0.614302604
0.055455785	0.589463193
0.056762758	0.589559968
0.058069731	0.597948937
0.059376704	0.59150435
0.060683677	0.588805707
0.061990651	0.615974464
0.063297624	0.585776569
0.064604597	0.592772143
0.06591157	0.610461838
0.067218543	0.610024409
0.068525516	0.623454964
0.069832489	0.602025456
0.071139462	0.596452173
0.072446436	0.618944363
0.073753409	0.614342382
0.075060382	0.605635002
0.076367355	0.627724712
0.077674328	0.607765754
0.078981301	0.599233511
0.080288274	0.61378759
0.081595247	0.613505859
0.08290222	0.62700413
0.084209194	0.634434778
0.085516167	0.623243875
0.08682314	0.608928332
0.088130113	0.622411798
0.089437086	0.611607067
0.090744059	0.624936555
0.092051032	0.619906178
0.093358005	0.63899492
0.094664979	0.630783938
0.095971952	0.623469029
0.097278925	0.618159208
0.098585898	0.622310343
0.099892871	0.627659245
0.10119984	0.640427415
0.10250682	0.624095549
0.10381379	0.615764786
0.10512076	0.627329077
0.10642774	0.641961841
0.10773471	0.634233531
0.10904168	0.62734134
0.11034866	0.64503575
0.11165563	0.62595938
0.1129626	0.639755545
0.11426958	0.64139508
0.11557655	0.624034579
0.11688352	0.630628976
0.11819049	0.645493766
0.11949747	0.641500449
0.12080444	0.649040753
0.12211141	0.651258973
0.124071875	0.644072132
0.12668582	0.640763222
0.129299765	0.641666418
0.131913715	0.645343421
0.13452766	0.640768605
0.137141605	0.644857535
0.13975555	0.652407815
0.142369495	0.643772767
0.144983445	0.651882025
0.14759739	0.653119535
0.150211335	0.658819029
0.152825285	0.660219014
0.15543923	0.6469749
0.158053175	0.656964947
0.16066712	0.651300491
0.163281065	0.659746874
0.165895015	0.662184903
0.16850896	0.656894562
0.171122905	0.660300786
0.173736855	0.664325521
0.1763508	0.666804759
0.178964745	0.662973568
0.18157869	0.669411471
0.184192635	0.667900118
0.186806585	0.673326937
0.18942053	0.683095944
0.192034475	0.67638139
0.194648425	0.685943696
0.19726237	0.68660753
0.199876315	0.67744031
0.20249026	0.682684035
0.205104205	0.691499266
0.207718155	0.692035882
0.2103321	0.6917457
0.212946045	0.688770383
0.215559995	0.690490673
0.21817394	0.696077692
0.220787885	0.691256017
0.22340183	0.701766834
0.226015775	0.695968972
0.228629725	0.700228562
0.23124367	0.705416696
0.233857615	0.703576409
0.236471565	0.70055408
0.239085505	0.72043433
0.241699455	0.712628509
0.2443134	0.715439472
0.246927345	0.716693836
0.249541295	0.719693989
0.25215524	0.71441706
0.254769185	0.721158035
0.257383135	0.727432286
0.259997075	0.722261263
0.262611025	0.725682355
0.26522497	0.735984819
0.267838915	0.725427713
0.270452865	0.728603024
0.27306681	0.732791079
0.275680755	0.738862453
0.278294705	0.740200937
0.280908645	0.742731626
0.283522595	0.748776865
0.28613654	0.743989235
0.288750485	0.743565635
0.291364435	0.739102751
0.29397838	0.749830373
0.296592325	0.763671788
0.299206275	0.757056508
0.301820215	0.757613753
0.304434165	0.759628945
0.30704811	0.761765332
0.309662055	0.763933559
0.312276005	0.76993031
0.31488995	0.764073452
0.317503895	0.762349047
0.320117845	0.773786491
0.322731785	0.775722958
0.325345735	0.771265049
0.32795968	0.781379235
0.330573625	0.774148455
0.333187575	0.781414499
0.33580152	0.784150756
0.338415465	0.783345012
0.341029415	0.789212111
0.343643355	0.778573544
0.346257305	0.787349776
0.34887125	0.792495825
0.351485195	0.792102463
0.354099145	0.795973351
0.35671309	0.801982788
0.359327035	0.807157714
0.361940985	0.805522587
0.364554925	0.815973326
0.367168875	0.807027942
0.36978282	0.821216934
0.372396765	0.808919279
0.375010715	0.830697094
0.37762466	0.815927492
0.380238605	0.825395593
0.382852555	0.825759366
0.385466495	0.823856005
0.388080445	0.837289775
0.39069439	0.837280915
0.393308335	0.830261488
0.395922285	0.837075221
0.39853623	0.839974358
0.401150175	0.83464699
0.40376412	0.838398965
0.406378065	0.836473855
0.408992015	0.835864632
0.41160596	0.842297027
0.414219905	0.828902304
0.416833855	0.858686026
0.4194478	0.838414065
0.422061745	0.847988913
0.42467569	0.85142005
0.427289635	0.844532314
0.429903585	0.860856057
0.43251753	0.868139004
0.435131475	0.860570942
0.437745425	0.875582229
0.44035937	0.871860274
0.442973315	0.868359759
0.44558726	0.877458203
0.448201205	0.882792226
0.450815155	0.866933232
0.4534291	0.872583123
0.456043045	0.869446601
0.458656995	0.867809832
0.46127094	0.866855486
