#mAbG 50 mM NaCl 10 mg/ml	
#q nm-1	Sq
0.045	0.807626027
0.046306973	0.875163826
0.047613946	0.875924306
0.048920919	0.906215152
0.050227892	0.873052654
0.051534866	0.833447852
0.052841839	0.908549513
0.054148812	0.914155807
0.055455785	0.878066244
0.056762758	0.882170743
0.058069731	0.892227623
0.059376704	0.884593974
0.060683677	0.875814945
0.061990651	0.910730905
0.063297624	0.872368796
0.064604597	0.884056614
0.06591157	0.907882316
0.067218543	0.908591636
0.068525516	0.926189092
0.069832489	0.896599857
0.071139462	0.892970604
0.072446436	0.913757254
0.073753409	0.913459113
0.075060382	0.895592541
0.076367355	0.926057355
0.077674328	0.904327268
0.078981301	0.887664363
0.080288274	0.909374325
0.081595247	0.908405765
0.08290222	0.925829097
0.084209194	0.933582465
0.085516167	0.917931016
0.08682314	0.896596215
0.088130113	0.919236832
0.089437086	0.899275199
0.090744059	0.922631703
0.092051032	0.914249807
0.093358005	0.937656085
0.094664979	0.923240736
0.095971952	0.91392197
0.097278925	0.909980461
0.098585898	0.917890726
0.099892871	0.920768558
0.10119984	0.933719879
0.10250682	0.912071083
0.10381379	0.903459791
0.10512076	0.918358938
0.10642774	0.938620949
0.10773471	0.922488537
0.10904168	0.915146651
0.11034866	0.945652934
0.11165563	0.908990039
0.1129626	0.930085337
0.11426958	0.930648737
0.11557655	0.904542196
0.11688352	0.915262346
0.11819049	0.940261678
0.11949747	0.930906737
0.12080444	0.942066974
0.12211141	0.942843372
0.124071875	0.933058774
0.12668582	0.924982516
0.129299765	0.925477327
0.131913715	0.926919524
0.13452766	0.91836285
0.137141605	0.925079018
0.13975555	0.937627307
0.142369495	0.921945732
0.144983445	0.930672009
0.14759739	0.929181999
0.150211335	0.937954775
0.152825285	0.9375212
0.15543923	0.919084937
0.158053175	0.929897054
0.16066712	0.921540784
0.163281065	0.93036048
0.165895015	0.928086328
0.16850896	0.923646711
0.171122905	0.923972505
0.173736855	0.928681448
0.1763508	0.929731403
0.178964745	0.923910375
0.18157869	0.92980438
0.184192635	0.922442903
0.186806585	0.933140551
0.18942053	0.942334874
0.192034475	0.932246863
0.194648425	0.943866026
0.19726237	0.942190277
0.199876315	0.929456999
0.20249026	0.935476449
0.205104205	0.945283296
0.207718155	0.944039716
0.2103321	0.938973966
0.212946045	0.931514552
0.215559995	0.934398364
0.21817394	0.940851015
0.220787885	0.929416827
0.22340183	0.943981241
0.226015775	0.932648701
0.228629725	0.936897788
0.23124367	0.940859045
0.233857615	0.936211325
0.236471565	0.930935506
0.239085505	0.953101745
0.241699455	0.946036156
0.2443134	0.943353303
0.246927345	0.943244042
0.249541295	0.946092887
0.25215524	0.936227174
0.254769185	0.944889134
0.257383135	0.949215206
0.259997075	0.9400254
0.262611025	0.941415053
0.26522497	0.954725929
0.267838915	0.937242926
0.270452865	0.938024785
0.27306681	0.942756681
0.275680755	0.949141803
0.278294705	0.947500042
0.280908645	0.94851176
0.283522595	0.955031422
0.28613654	0.947871096
0.288750485	0.944713771
0.291364435	0.935193404
0.29397838	0.946405297
0.296592325	0.962020118
0.299206275	0.954000907
0.301820215	0.948354188
0.304434165	0.949019248
0.30704811	0.951392948
0.309662055	0.951691034
0.312276005	0.954533293
0.31488995	0.945816185
0.317503895	0.942700102
0.320117845	0.955041216
0.322731785	0.953576647
0.325345735	0.945571903
0.32795968	0.955654914
0.330573625	0.946447002
0.333187575	0.951504121
0.33580152	0.949981089
0.338415465	0.948913455
0.341029415	0.955649122
0.343643355	0.938108178
0.346257305	0.947589295
0.34887125	0.950065844
0.351485195	0.946895479
0.354099145	0.952635527
0.35671309	0.956934075
0.359327035	0.957464785
0.361940985	0.954945847
0.364554925	0.963973534
0.367168875	0.951482683
0.36978282	0.968135222
0.372396765	0.947889903
0.375010715	0.971391226
0.37762466	0.951473912
0.380238605	0.960796753
0.382852555	0.964134978
0.385466495	0.96021858
0.388080445	0.971519957
0.39069439	0.964250717
0.393308335	0.955364064
0.395922285	0.96618925
0.39853623	0.967816641
0.401150175	0.955611395
0.40376412	0.957616868
0.406378065	0.953088271
0.408992015	0.953035644
0.41160596	0.958929363
0.414219905	0.942530281
0.416833855	0.973119341
0.4194478	0.945267521
0.422061745	0.955730194
0.42467569	0.956670802
0.427289635	0.948803299
0.429903585	0.966198129
0.43251753	0.969017637
