#q [nm-1]	Sq mAbG 50 mg/ml 50 mM NaCl
#0.045	0.577592798
0.046306973	0.635848341
0.047613946	0.631077592
0.048920919	0.656405526
0.050227892	0.628544305
0.051534866	0.601920832
0.052841839	0.654562787
0.054148812	0.6632699
0.055455785	0.633938392
0.056762758	0.640889976
0.058069731	0.647550096
0.059376704	0.639811081
0.060683677	0.636931188
0.061990651	0.662940932
0.063297624	0.633190271
0.064604597	0.641438086
0.06591157	0.659127817
0.067218543	0.659285989
0.068525516	0.675561771
0.069832489	0.654116829
0.071139462	0.650009387
0.072446436	0.666819355
0.073753409	0.664000379
0.075060382	0.654839715
0.076367355	0.678507834
0.077674328	0.657762894
0.078981301	0.647788091
0.080288274	0.664305075
0.081595247	0.663655127
0.08290222	0.677562877
0.084209194	0.687064962
0.085516167	0.674806083
0.08682314	0.658169379
0.088130113	0.672593441
0.089437086	0.662858661
0.090744059	0.676574893
0.092051032	0.669389275
0.093358005	0.685497349
0.094664979	0.681722302
0.095971952	0.674111108
0.097278925	0.668360205
0.098585898	0.674192975
0.099892871	0.678580473
0.10119984	0.690334707
0.10250682	0.674582765
0.10381379	0.661650605
0.10512076	0.678092443
0.10642774	0.692097847
0.10773471	0.681594088
0.10904168	0.675892805
0.11034866	0.697115681
0.11165563	0.673899248
0.1129626	0.687936725
0.11426958	0.693002593
0.11557655	0.668815688
0.11688352	0.679006227
0.11819049	0.698892131
0.11949747	0.693760318
0.12080444	0.701491219
0.12211141	0.699935336
0.124071875	0.693468238
0.12668582	0.689304068
0.129299765	0.691760713
0.131913715	0.693033396
0.13452766	0.686115021
0.137141605	0.693361335
0.13975555	0.702557889
0.142369495	0.690343984
0.144983445	0.700327685
0.14759739	0.70008864
0.150211335	0.705690597
0.152825285	0.708904577
0.15543923	0.694648778
0.158053175	0.704475053
0.16066712	0.69809399
0.163281065	0.70575813
0.165895015	0.706418523
0.16850896	0.701571568
0.171122905	0.706609193
0.173736855	0.710670628
0.1763508	0.713986597
0.178964745	0.708285434
0.18157869	0.713236093
0.184192635	0.710623953
0.186806585	0.719472872
0.18942053	0.728217366
0.192034475	0.72263378
0.194648425	0.730596096
0.19726237	0.730622379
0.199876315	0.722623178
0.20249026	0.727324738
0.205104205	0.736005579
0.207718155	0.737060125
0.2103321	0.736044784
0.212946045	0.730810659
0.215559995	0.733638084
0.21817394	0.738669418
0.220787885	0.733904615
0.22340183	0.746920715
0.226015775	0.739086812
0.228629725	0.742127264
0.23124367	0.747614696
0.233857615	0.746708948
0.236471565	0.742422591
0.239085505	0.761215177
0.241699455	0.755130815
0.2443134	0.75557495
0.246927345	0.756934063
0.249541295	0.760847718
0.25215524	0.75542871
0.254769185	0.761437128
0.257383135	0.767488399
0.259997075	0.762788401
0.262611025	0.764220909
0.26522497	0.776830833
0.267838915	0.764276216
0.270452865	0.766577795
0.27306681	0.772419144
0.275680755	0.778331272
0.278294705	0.777999173
0.280908645	0.780898681
0.283522595	0.78729846
0.28613654	0.784058919
0.288750485	0.781609693
0.291364435	0.776116482
0.29397838	0.78651389
0.296592325	0.80156491
0.299206275	0.795274231
0.301820215	0.790344243
0.304434165	0.792831806
0.30704811	0.799575079
0.309662055	0.799821373
0.312276005	0.805613351
0.31488995	0.798475542
0.317503895	0.797642369
0.320117845	0.808595222
0.322731785	0.809219892
0.325345735	0.804447882
0.32795968	0.81606214
0.330573625	0.80893279
0.333187575	0.815229477
0.33580152	0.816770821
0.338415465	0.814851612
0.341029415	0.821194089
0.343643355	0.809741789
0.346257305	0.819561483
0.34887125	0.822089017
0.351485195	0.822435412
0.354099145	0.827442549
0.35671309	0.830300423
0.359327035	0.83606853
0.361940985	0.834671447
0.364554925	0.845780084
0.367168875	0.834571049
0.36978282	0.851591049
0.372396765	0.836196123
0.375010715	0.859355858
0.37762466	0.842951412
0.380238605	0.850586973
0.382852555	0.8554498
0.385466495	0.851636869
0.388080445	0.863338655
0.39069439	0.861160362
0.393308335	0.854408412
0.395922285	0.861408672
0.39853623	0.864513835
0.401150175	0.859622324
0.40376412	0.862984437
0.406378065	0.859574368
0.408992015	0.859765604
0.41160596	0.864907416
0.414219905	0.853994137
0.416833855	0.881536533
0.4194478	0.861928221
0.422061745	0.869862188
0.42467569	0.871705085
0.427289635	0.865633404
0.429903585	0.881406888
0.43251753	0.889017006
0.435131475	0.882165289
0.437745425	0.895185077
0.44035937	0.892940814
0.442973315	0.888479495
0.44558726	0.896146999
0.448201205	0.901455983
0.450815155	0.88732392
0.4534291	0.896364322
0.456043045	0.887018972
0.458656995	0.884682318
0.46127094	0.886046995
0.463884885	0.907644962
0.46649883	0.906888401
0.469112775	0.91013304
0.471726725	0.909904755
0.47434067	0.90560613
0.476954615	0.898959782
0.479568565	0.892016925
0.48218251	0.90079069
0.484796455	0.904362327
0.4874104	0.900041915
0.490024345	0.896522742
0.492638295	0.935003696
0.49525224	0.909269111
0.497866185	0.909100186
0.500480135	0.913618106
0.50309408	0.936568599
0.505708025	0.939569485
0.50832197	0.903784176
0.510935915	0.912486715
0.513549865	0.892148178
0.51616381	0.920668255
0.518777755	0.92276525
0.521391705	0.941183347
0.52400565	0.924528232
0.526619595	0.940193284
0.52923354	0.927559466
0.531847485	0.942381569
0.534461435	0.917557323
0.53707538	0.957066072
0.539689325	0.927642014
0.542303275	0.924269959
0.54491722	0.954497481
0.547531165	0.926076143
0.55014511	0.947777902
0.552759055	0.925084036
0.555373005	0.943965102
0.55798695	0.955637476
0.560600895	0.955838413
0.563214845	0.939197234
0.56582879	0.942888703
0.569749708	0.941856237
0.5749776	0.952833504
0.580205493	0.937670786
0.585433385	0.938602855
0.590661278	0.94468759
0.59588917	0.942835309
0.601117063	0.942842478
0.606344955	0.928298696
0.611572848	0.936864274
0.61680074	0.94513224
0.622028633	0.960578344
0.627256525	0.928025302
0.632484418	0.953651907
0.63771231	0.933835915
0.642940203	0.948153124
0.648168095	0.929343704
0.653395987	0.938696355
0.65862388	0.941823144
0.663851772	0.95156604
0.669079665	0.962434375
0.674307557	0.96157882
0.67953545	0.928735024
0.684763342	0.934113694
0.689991235	0.94990225
0.695219127	0.948020724
0.70044702	0.919719293
0.705674913	0.912494247
0.710902805	0.971792898
0.716130698	0.937909407
0.72135859	0.953087656
0.726586482	0.95533289
0.731814375	0.93830853
0.737042268	0.946175401
0.74227016	0.968751233
0.747498052	0.980251204
0.752725945	0.962706426
0.757953837	0.943385029
0.76318173	0.951321238
0.768409623	0.927877637
0.773637512	0.940969056
0.778865407	0.959421047
0.7840933	0.988200916
0.789321193	0.955432695
0.794549082	0.938476522
0.799776978	0.938265748
0.80500487	0.973529896
0.810232763	0.929568389
0.815460653	1.001190241
0.820688548	0.979647307
0.82591644	1.01219276
0.833758278	0.983941689
0.844214064	0.94695748
0.854669848	0.973116182
0.865125634	0.938572445
0.875581418	0.960098057
0.886037204	0.956752224
0.896492988	0.962201021
0.906948774	0.95689712
0.917404557	0.938334053
0.927860344	1.000900897
0.938316126	0.985734298
0.948771914	0.985741088
0.959227696	0.991885533
0.969683484	0.98756544
0.980139266	0.980785486
0.990595054	0.97865986
1.001050839	0.9503486
1.011506625	0.994342947
1.0219624	1.003046661
1.0324182	0.989544823
1.042873975	0.953161313
1.053329763	0.996648023
1.06378555	1.010074736
1.074241325	1.010510256
1.084697125	1.01149324
1.0951529	1.022719496
1.105608688	0.970481135
