#q [nm-1]	Sq mAbG 20 mg/ml 50 mM NaCl
#0.045	0.779979056
0.046306973	0.845982035
0.047613946	0.847471746
0.048920919	0.877183052
0.050227892	0.845218884
0.051534866	0.80751191
0.052841839	0.881323479
0.054148812	0.885348255
0.055455785	0.852612859
0.056762758	0.857905086
0.058069731	0.870012455
0.059376704	0.855724363
0.060683677	0.851271446
0.061990651	0.885553565
0.063297624	0.849887182
0.064604597	0.858984602
0.06591157	0.880413901
0.067218543	0.88066194
0.068525516	0.897850831
0.069832489	0.86622771
0.071139462	0.866213348
0.072446436	0.888721288
0.073753409	0.88428991
0.075060382	0.871198458
0.076367355	0.897717962
0.077674328	0.877263118
0.078981301	0.858134453
0.080288274	0.880119545
0.081595247	0.879840743
0.08290222	0.900600858
0.084209194	0.906701637
0.085516167	0.890636737
0.08682314	0.871760506
0.088130113	0.891411225
0.089437086	0.875558998
0.090744059	0.893709904
0.092051032	0.88355473
0.093358005	0.907265272
0.094664979	0.898830263
0.095971952	0.886847303
0.097278925	0.882935071
0.098585898	0.89045502
0.099892871	0.892381055
0.10119984	0.908659944
0.10250682	0.888684469
0.10381379	0.873143236
0.10512076	0.889752612
0.10642774	0.912083062
0.10773471	0.897915696
0.10904168	0.88634406
0.11034866	0.913170331
0.11165563	0.886195341
0.1129626	0.903162272
0.11426958	0.903164789
0.11557655	0.876285308
0.11688352	0.88832918
0.11819049	0.911454466
0.11949747	0.907242112
0.12080444	0.912646721
0.12211141	0.915567663
0.124071875	0.905427378
0.12668582	0.898027799
0.129299765	0.898442967
0.131913715	0.901935191
0.13452766	0.892496567
0.137141605	0.900252367
0.13975555	0.910059521
0.142369495	0.895724275
0.144983445	0.903928613
0.14759739	0.904422136
0.150211335	0.910579677
0.152825285	0.912595129
0.15543923	0.893542786
0.158053175	0.90367454
0.16066712	0.896876093
0.163281065	0.904625834
0.165895015	0.903649015
0.16850896	0.8977185
0.171122905	0.90200506
0.173736855	0.904762327
0.1763508	0.906643019
0.178964745	0.898613472
0.18157869	0.906234613
0.184192635	0.901540352
0.186806585	0.908425882
0.18942053	0.919878031
0.192034475	0.909963437
0.194648425	0.919732784
0.19726237	0.918845605
0.199876315	0.907542661
0.20249026	0.911728891
0.205104205	0.921297498
0.207718155	0.920082582
0.2103321	0.916777842
0.212946045	0.910798661
0.215559995	0.912354116
0.21817394	0.919524177
0.220787885	0.910271093
0.22340183	0.921464702
0.226015775	0.91124282
0.228629725	0.91666625
0.23124367	0.91910474
0.233857615	0.91723448
0.236471565	0.910242052
0.239085505	0.932774613
0.241699455	0.922956343
0.2443134	0.923457708
0.246927345	0.921200164
0.249541295	0.925227162
0.25215524	0.916922233
0.254769185	0.923497264
0.257383135	0.929480751
0.259997075	0.920095529
0.262611025	0.922170493
0.26522497	0.934763835
0.267838915	0.920289939
0.270452865	0.921096665
0.27306681	0.926218909
0.275680755	0.931420263
0.278294705	0.929960478
0.280908645	0.929338338
0.283522595	0.935616607
0.28613654	0.930756035
0.288750485	0.926857886
0.291364435	0.918867894
0.29397838	0.929206748
0.296592325	0.945984982
0.299206275	0.936996334
0.301820215	0.930823387
0.304434165	0.931251184
0.30704811	0.935723371
0.309662055	0.935146644
0.312276005	0.939446073
0.31488995	0.930652222
0.317503895	0.92722917
0.320117845	0.939462446
0.322731785	0.939145229
0.325345735	0.932909566
0.32795968	0.940591866
0.330573625	0.932702792
0.333187575	0.94091397
